Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By Trinity Cathedral (Davenport, Iowa). Trinity Guild. (Davenport, Iowa : The Guilds, 1936.)","Davenport, Iowa). Trinity Guild. (Davenport, Iowa : The Guilds, 1936.)",Trinity Cathedral,Selected recipes,compiled by Trinity Guild and St. Margaret's Guild of Trinity Cathedral.,PARKS Special Collections,TX715.2 M53 S47x 1936,1936,Item in place,Book,990015478650102756
"Book By Swedesburg Evangelical Lutheran Church. Lutheran Church Women. (New London, Iowa : New London Journal, [1966])","New London, Iowa : New London Journal, [1966])",Swedesburg Evangelical Lutheran Church. Lutheran Church Women.,100 years of food favorites,"Lutheran Church Women of Swedesburg Evangelical Lutheran Church, Swedesburg, Iowa.",PARKS Special Collections,TX715.2 M53 A1342x 1966,1966,Item in place,Book,990019384380102756
"Book By Epworth League (U.S.). Chapter 383. ([Place of publication not identified] : Epworth League?, [date of publication not identified])","U.S.). Chapter 383. ([Place of publication not identified] : Epworth League?, [date of publication not identified])",Epworth League,The Glidden cook book : a home cook book consisting of receipts,contributed by the ladies of Glidden.,PARKS Special Collections,TX715.2 M53 G63x,TX715.2 M53 G63x,Item in place,Book,990016911760102756
"Book By Santa Fe United Methodist Church (Fort Madison, Iowa) Alpha Omega Circle. (Shawnee Mission, Kan. : Circulation Service, Inc., [1979])","Fort Madison, Iowa) Alpha Omega Circle. (Shawnee Mission, Kan. : Circulation Service, Inc., [1979])",Santa Fe United Methodist Church,Book of favorite recipes,"compiled by Alpha-Omega Circle of Santa Fe United Methodist Church [Fort Madison, Iowa].",PARKS Special Collections,TX715.2 M53 B6653x 1979,1979,Item in place,Book,990016745150102756
"Book By Sacred Heart Catholic Church (Volga, Iowa). Altar and Rosary Society. (Volga, Iowa : Altar and Rosary Society of Sacred Heart Catholic Church, 1966.)","Volga, Iowa). Altar and Rosary Society. (Volga, Iowa : Altar and Rosary Society of Sacred Heart Catholic Church, 1966.)",Sacred Heart Catholic Church,A book of favorite recipes,compiled by Altar and Rosary Society of Sacred Heart Catholic Church.,PARKS Special Collections,TX715.2 M53 B6626x 1966,1966,Item in place,Book,990015218240102756
"Book By Spring Run United Methodist Church (Spring Run, Iowa). Womens Society of Christian Service. (New London, Iowa : Journal Print, [1972?])","Spring Run, Iowa). Womens Society of Christian Service. (New London, Iowa : Journal Print, [1972?])",Spring Run United Methodist Church,"Spring Run church centennial cook book, 1872-1972",compiled by members of the Ladies Aid and W.S.C.S.,PARKS General Collection,TX715.2 M53 S688x 1972,1972,Item in place,Book,990016437600102756
"Book By Foreign Food Fair 1969 : Des Moines, Iowa) (Des Moines, Iowa. : Des Moines Area Council for International Understanding, [1969])","Des Moines, Iowa. : Des Moines Area Council for International Understanding, [1969])","Foreign Food Fair 1969 : Des Moines, Iowa)",Foreign food cookbook.,,PARKS Special Collections,TX715.2 M53 F68x 1969,1969,Item in place,Book,990017447040102756
"Book By International Order of the King's Daughters and Sons. Mahaska County (Iowa) (Mahaska County, Iowa : Mahaska County King's Daughters and Sons, [1949?])","Iowa) (Mahaska County, Iowa : Mahaska County King's Daughters and Sons, [1949?])",International Order of the King's Daughters and Sons. Mahaska County,Cooking round the world and at home,"[Mashaka [i.e., Mahaska] County King's Daughters and Sons]",PARKS Special Collections,TX715.2 M53 C67x 1949,1949,Item in place,Book,990014731950102756
"Book By Congregational United Church of Christ (Baxter, Iowa) Good News Club. (Leawood, KS : Circulation Service, [1985])","Baxter, Iowa) Good News Club. (Leawood, KS : Circulation Service, [1985])",Congregational United Church of Christ,A book of favorite recipes,"compiled by Good News Club of Congregational United Church of Christ, [Baxter, Iowa].",PARKS General Collection,TX715.2 M53 B6656x 1985,1985,Item in place,Book,990016791040102756
"Book By United Methodist Women (Shenandoah, Iowa) (Shawnee Mission, Kan. : Circulation Service, 1978.)","Shenandoah, Iowa) (Shawnee Mission, Kan. : Circulation Service, 1978.)",United Methodist Women,A book of favorite recipes,"compiled by United Methodist Women, Shenandoah, Iowa.",PARKS General Collection,TX715.2 M53 B66x 1978,1978,Item in place,Book,990014760610102756
"Book By St. Anthony's Catholic Church (Knoxville, Iowa). Altar and Rosary Society. (Iowa Falls, Iowa : General Publishing and Binding, 1974.)","Knoxville, Iowa). Altar and Rosary Society. (Iowa Falls, Iowa : General Publishing and Binding, 1974.)",St. Anthony's Catholic Church,Tried and true recipes : a cook book,from St. Anthony's Women.,PARKS General Collection,TX715.2 M53 T755x 1974,1974,Item in place,Book,990016375020102756
"Book By Volney Methodist Church (Volney, Iowa). Women's Society of Christian Service. (Volney, Iowa :, [publisher not identified], Women's Society of Christian Service, Volney Methodist Church.)","Volney, Iowa). Women's Society of Christian Service. (Volney, Iowa :, [publisher not identified], Women's Society of Christian Service, Volney Methodist Church.)",Volney Methodist Church,Suburban cookie book,"sponsored by Women's Society Christian Service, Volney Methodist Church, Volney, Iowa.",PARKS Special Collections,TX772 S8322x 1950z,TX772 S8322x 1950z,Item in place,Book,990019730500102756
"Book By Geerdes, Virginia. ([Wellsburg, Ia. (Box H, Wellsburg 50680)] : [Send orders to: Virginia Geerdes], [1996])","[Wellsburg, Ia. (Box H, Wellsburg 50680)] : [Send orders to: Virginia Geerdes], [1996])","Geerdes, Virginia.","A century of home cooking : Wellsburg Reformed Church, 1897-1997","[centennial cookbook committee, Virginia Geerdes ... and others]",PARKS General Collection,TX715.2 M53 C48x 1996,1996,Item in place,Book,990015728160102756
"Book By East Iowa Heirloom Quilters (Cedar Rapids, Iowa) (Shawnee Mission, Kan. : Circulation Service, [1982])","Cedar Rapids, Iowa) (Shawnee Mission, Kan. : Circulation Service, [1982])",East Iowa Heirloom Quilters,A book of favorite recipes,"compiled by the East Iowa Heirloom Quilters [based in Cedar Rapids, Iowa].",PARKS General Collection,TX715.2 M53 B6648x 1982,1982,Item in place,Book,990016732780102756
"Book By American Legion. Auxiliary. Shannon Wilson Unit No. 174 (Charles City, Iowa) (Winnipeg 5, Manitoba : Gateway Publishing, [1971?])","Charles City, Iowa) (Winnipeg 5, Manitoba : Gateway Publishing, [1971?])",American Legion. Auxiliary. Shannon Wilson Unit No. 174,From our kitchen to yours,"[compiled by Charles City American Legion Auxiliary Unit 174, Charles City, Iowa]",PARKS Special Collections,TX715.2 M53 F7622x,TX715.2 M53 F7622x,Item in place,Book,990015277330102756
"Book By Colfax Rebekah Lodge No. 4 (Keokuk, Iowa) ([Keokuk, Iowa] : [Keokuk Lodge No. 13, Independent Order of Odd Fellows?], [1952?])","Keokuk, Iowa) ([Keokuk, Iowa] : [Keokuk Lodge No. 13, Independent Order of Odd Fellows?], [1952?])",Colfax Rebekah Lodge No. 4,Kitchen kapers,[compiled by Colfax Rebekah Lodge No. 4?],PARKS Special Collections,TX715.2 M53 K583x 1952,1952,Item in place,Book,990014983650102756
"Book By C. E. Richard & Sons. (Muscatine, Iowa : C.E. Richard & Sons, [between 1950 and 1959?])","Muscatine, Iowa : C.E. Richard & Sons, [between 1950 and 1959?])",C. E. Richard & Sons.,101 ideas for quick and easy lunches.,,PARKS Special Collections,TX735 A15x 1950z,TX735 A15x 1950z,Item in place,Book,990019025430102756
"Book By Iowa Federation of Republican Women (Waterloo, Iowa) (Shawnee Mission, KS : Circulation Service, 1979?)","Waterloo, Iowa) (Shawnee Mission, KS : Circulation Service, 1979?)",Iowa Federation of Republican Women,A book of favorite recipes,compiled by Iowa Federation of Republican Women.,PARKS General Collection,TX715.2 M53 B6642x 1979,1979,Item in place,Book,990016403130102756
"Book By Van Wert Lioness Club (Van Wert, Iowa) (Deep River, Iowa : Brennan Printing, 1989.)","Van Wert, Iowa) (Deep River, Iowa : Brennan Printing, 1989.)",Van Wert Lioness Club,Town 'n country cook'n : down home cook'n at it's best!!,sponsored by Van Wert Lioness Club.,PARKS General Collection,TX715.2 M53 T68x 1989,1989,Item in place,Book,990016403300102756
"Book By Veterans of Foreign Wars of the United States. Floyd Foster Post 2060 (Perry, Iowa). Ladies Auxiliary. ([Perry, Iowa] : [Floyd Foster Post 2060?], 1951.)","Perry, Iowa). Ladies Auxiliary. ([Perry, Iowa] : [Floyd Foster Post 2060?], 1951.)",Veterans of Foreign Wars of the United States. Floyd Foster Post 2060,Kitchen kapers,"[compiled by the Veterans of Foreign Wars Auxiliary To Floyd Foster Post 2060, Perry, Iowa]",PARKS Special Collections,TX715.2 M53 K584x 1951,1951,Item in place,Book,990015110360102756
"Book By Rotary International. District 597. (West Union, Iowa : R.M. ""Dick"" Westerfield, Fayette County Union [for Rotary District 597], 1964.)","West Union, Iowa : R.M. ""Dick"" Westerfield, Fayette County Union [for Rotary District 597], 1964.)",Rotary International. District 597.,Rotary Anns' recipe book,"compiled by Dr. Eugene E. (""Prexy"") Garbee and Mildred Garbee.",PARKS General Collection,TX715.2 M53 R675x 1964,1964,Item in place,Book,990015734360102756
"Book (Deep River, Iowa : Brennan Printing, [1996])","Deep River, Iowa : Brennan Printing, [1996])",Book,Oma's (Grandma's) family secrets : generations of Amana cooking.,,PARKS General Collection,TX715.2 M53 O45x 1996,1996,Item in place,Book,990018496840102756
"Book By Valley United Methodist Church (West Des Moines, Iowa) (West Des Moines, Iowa : Valley United Methodist Church, [between 1980 and 1989])","West Des Moines, Iowa) (West Des Moines, Iowa : Valley United Methodist Church, [between 1980 and 1989])",Valley United Methodist Church,Our family favorites,"[Valley United Methodist Church, West Des Moines, Iowa]",PARKS General Collection,TX715.2 M53 O9739x 1989,1989,Item in place,Book,990017367040102756
"Book By Evangelical United Brethren Church (Russell, Iowa). Bethel Aid Society. (Kansas City, Mo. : Bev-Ron Publishing Company, [1952])","Russell, Iowa). Bethel Aid Society. (Kansas City, Mo. : Bev-Ron Publishing Company, [1952])",Evangelical United Brethren Church,Bethel's treasure of personal recipes,"compiled by the Bethel Aid Society of the Evangelical United Brethren Church, Russell, Iowa.",PARKS Special Collections,TX715.2 M53 B485x 1952,1952,Item in place,Book,990019384730102756
"Book By First Assembly of God Church (Fairfield, Iowa). Women's Ministries. (Waseca, Minn. : Walter's Publishing Company, [1986])","Fairfield, Iowa). Women's Ministries. (Waseca, Minn. : Walter's Publishing Company, [1986])",First Assembly of God Church,Town and country cookery,"[compiled by Women's Ministries, First Assembly of God Church, Fairfield, Iowa].",PARKS General Collection,TX715.2 M53 T675x 1986,1986,Item in place,Book,990016411520102756
"Book By Sprague, Besse Toulouse, (Des Moines, Iowa : Women's and Children's Hospital Association, 1923.)","Des Moines, Iowa : Women's and Children's Hospital Association, 1923.)","Sprague, Besse Toulouse,",The Hostess cook book,"written by Iowa Women ; editor-in-chief, Mrs. Wayne Sprague.",PARKS Special Collections,TX715.2 M53 H68x 1923,1923,Item in place,Book,990015425280102756
"Book By Morningside Lutheran Church Women (Sioux City, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1974.)","Sioux City, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1974.)",Morningside Lutheran Church Women,Morningside Lutheran Church Women's cook book.,,PARKS General Collection,TX715.2 M53 M68x 1974,1974,Item in place,Book,990015220500102756
"Book By Algona Women of Today. (Deep River, Iowa : Brennan Printing, 1991.)","Deep River, Iowa : Brennan Printing, 1991.)",Algona Women of Today.,Home cookin' is good cookin',sponsored by the Algona Women for Today.,PARKS General Collection,TX715.2 M53 H656x 1991,1991,Item in place,Book,990018939000102756
"Book By Grinnell Mutual Reinsurance Company (Grinnell, Iowa) (Grinnell, Iowa : FarMutual Insurance, Grinnell Mutual Reinsurance Company?, [1994])","Grinnell, Iowa) (Grinnell, Iowa : FarMutual Insurance, Grinnell Mutual Reinsurance Company?, [1994])",Grinnell Mutual Reinsurance Company,Classic barbecue : great-tasting barbecue recipes with all the trimmings,"[FarMutual Insurance, Grinnell Mutual Reinsurance Company].",PARKS General Collection,TX840 B3 C53x 1994,1994,Item in place,Book,990016176430102756
"Book By Sac City Women's Action Club (Sac City, Iowa). (Leawood, Kan. : Circulation Service, Inc., [1990])","Sac City, Iowa). (Leawood, Kan. : Circulation Service, Inc., [1990])",Sac City Women's Action Club,A book of favorite recipes,"compiled by Sac City Women's Action Club of Sac City, Iowa.",PARKS General Collection,TX715.2 M53 B6659x 1990,1990,Item in place,Book,990019674190102756
"Book By Central College (Pella, Iowa). Women's Auxiliary. (Pella, Iowa : Central College Auxiliary, 1992.)","Pella, Iowa). Women's Auxiliary. (Pella, Iowa : Central College Auxiliary, 1992.)",Central College,A taste of the world,compiled and published by Central College Auxiliary.,PARKS General Collection,TX715.2 M53 T373x 1992,1992,Item in place,Book,990018496740102756
"Book By Collegiate United Methodist Church (Ames, Iowa) (Waverly, Iowa : G & R Pub. Co., [2005])","Ames, Iowa) (Waverly, Iowa : G & R Pub. Co., [2005])",Collegiate United Methodist Church,Souper suppers,"Collegiate United Methodist Church, Wesley Foundation.",PARKS General Collection,TX715.2 M53 S67x 2005,2005,Item in place,Book,990015522750102756
"Book By Iowa Soybean Promotion Board. ([West Des Moines, Iowa] : Iowa Soybean Promotion Board, [1982]-)","[West Des Moines, Iowa] : Iowa Soybean Promotion Board, [1982]-)",Iowa Soybean Promotion Board.,Recipes from the VSPs,Volunteer Soybean Promoters.,PARKS Special Collections,TX803 S6 R425x 1982,1982,Item in place,Book,990018984180102756
"Book By Women's Society of Christian Service (Delta Methodist Church (Delta, Iowa)) (Delta, Iowa : Women's Society of Christian Service, Methodist Church, 1942.)","Delta Methodist Church (Delta, Iowa)) (Delta, Iowa : Women's Society of Christian Service, Methodist Church, 1942.)",Women's Society of Christian Service,Recipes,"[compiled by the Women's Society of Christian Service, Methodist Church, Delta, Iowa].",PARKS Special Collections,TX715.2 M53 R4426x 1942,1942,Item in place,Book,990019117980102756
"Book By Nacirema (Holstein, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1975.)","Holstein, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1975.)",Nacirema,Die Holstein Kochbuch,[compiled by the] Nacirema Club.,PARKS General Collection,TX715.2 M53 H655x 1975,1975,Item in place,Book,990016198810102756
"Book By Bell, Viola M., (Ames, Iowa : Viola M. Bell, [1932])","Ames, Iowa : Viola M. Bell, [1932])","Bell, Viola M.,",Bell recipe file,[by Viola M. Bell].,PARKS Spec Coll: Archives,TX715.2 M53 B42x 1932,1932,Item in place,Other,9920500479602756
"Book By Peterson, Marilyn, (Ames, Iowa : Buckley Peterson, 2002.)","Ames, Iowa : Buckley Peterson, 2002.)","Peterson, Marilyn,",Our cooking heritage,[complied and published by] Marilyn and Buckley Peterson.,PARKS Special Collections,TX715.2 M53 P48x 2002,2002,Item in place,Book,9920438589302756
"Book By Women's Society of Christian Service (Ruthven, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1972.)","Ruthven, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1972.)",Women's Society of Christian Service,United Methodist Church cook book,United Methodist Church [of Ruthven],PARKS General Collection,TX715.2 M53 U57x 1972,1972,Item in place,Book,990016243740102756
"Book By Veterans of Foreign Wars of the United States. Curray-Talmadge Post No. 6637 (Manchester, Iowa). Ladies Auxiliary. (Mission, Kan. : Continental Publishing Company, [date of publication not identified])","Manchester, Iowa). Ladies Auxiliary. (Mission, Kan. : Continental Publishing Company, [date of publication not identified])",Veterans of Foreign Wars of the United States. Curray-Talmadge Post No. 6637,Our favorite recipes,"compiled by the Ladies Auxiliary to Veterans of Foreign Wars Post No. 6637, Manchester, Iowa.",PARKS Special Collections,TX715.2 M53 O9726x,TX715.2 M53 O9726x,Item in place,Book,990015084130102756
"Book By Group No. 2 of Baptist Ladies Aid (Ollie, Iowa) (Marceline, Mo. : Walsworth Bros., 1954.)","Ollie, Iowa) (Marceline, Mo. : Walsworth Bros., 1954.)",Group No. 2 of Baptist Ladies Aid,The All-American cook book : favorite recipes from famous people.,,PARKS Special Collections,TX715.2 M53 A43x 1954,1954,Item in place,Book,990014970490102756
"Book By KMA (Radio station : Shenandoah, Iowa) ([Shenandoah, Iowa] : [KMA Radio?], [1958?])","Radio station : Shenandoah, Iowa) ([Shenandoah, Iowa] : [KMA Radio?], [1958?])",KMA,KMA Christmas tea cookie book : selected from among the hundreds of outstanding cookies displayed at the KMA homemakers Christmas cookie tea,"prepared, edited and published by the editors, KMA guide.",PARKS Special Collections,TX739.2 C45 K63x 1958,1958,Item in place,Book,990015581250102756
"Book By Lofquist, June. (Kearney, NE : Cookbooks by Morris Press, [1986])","Kearney, NE : Cookbooks by Morris Press, [1986])","Lofquist, June.",Give us this day,"[compiled by the Committee, June Lofquist ... and others].",PARKS General Collection,TX715.2 M53 G58x 1986,1986,Item in place,Book,990015933520102756
"Book By St. Paul's Episcopal Cathedral (Des Moines, Iowa) (Des Moines, Iowa (815 High Street, Des Moines 50309) : St. Paul's Episcopal Cathedral, 2004.)","Des Moines, Iowa) (Des Moines, Iowa (815 High Street, Des Moines 50309) : St. Paul's Episcopal Cathedral, 2004.)",St. Paul's Episcopal Cathedral,The welcoming table : a book for 21st century cooks.,,PARKS General Collection,TX715.2 M53 W45x 2004,2004,Item in place,Book,990015487360102756
"Book By Young, Jessie S. ([Shenandoah, Iowa] : [KMA Radio?], 1937.)","[Shenandoah, Iowa] : [KMA Radio?], 1937.)","Young, Jessie S.",KMA homemaker's cake and cookie receipt book,edited by Jessie S. Young.,PARKS Special Collections,TX771 K63x 1937,1937,Item in place,Book,990015530390102756
"Book By Professional Musician & Entertainers Club of Iowa. (Kearney, Neb. : Morris Press, 1994.)","Kearney, Neb. : Morris Press, 1994.)",Professional Musician & Entertainers Club of Iowa.,"Cooking with the stars : past, present, future",Professional Musician & Entertainers Club of Iowa.,PARKS General Collection,TX715.2 M53 C6735x 1994,1994,Item in place,Book,990019190790102756
"Book By St. John's Evangelical Lutheran Church in America (Madrid, Iowa) (Kearney, NE : Morris Press Cookbooks, [2009])","Madrid, Iowa) (Kearney, NE : Morris Press Cookbooks, [2009])",St. John's Evangelical Lutheran Church in America,150 Years of history and favorite recipes from St. John's Evangelical Lutheran Church in America.,,PARKS General Collection,TX715.2 M53 A1318x 2009,2009,Item in place,Book,990017874850102756
"Book By Polk County Medical Society (Des Moines, Iowa) Auxiliary. (Kansas City, Kan. : Circulation Service, [1976])","Des Moines, Iowa) Auxiliary. (Kansas City, Kan. : Circulation Service, [1976])",Polk County Medical Society,A book of favorite recipes,"Polk County Medical Society Auxiliary, Des Moines, Iowa.",PARKS General Collection,TX715.2 M53 B6658x 1976,1976,Item in place,Book,990016805090102756
"Book By Turin Community Betterment (Turin, Iowa), (Shawnee Mission, Kansas : Circulation Service. [1985])","Turin, Iowa), (Shawnee Mission, Kansas : Circulation Service. [1985])",Turin Community Betterment,A book of favorite recipes,compiled by Turin Community Betterment.,PARKS Special Collections,TX715.2.M53 B66525 1985,1985,Item in place,,9921375814602756
"Book By Ascension Lutheran Church (Ames, Iowa). Ruth Circle. ([Ames, Iowa] : Ascension Lutheran Church, [between 1968 and 1975].)","Ames, Iowa). Ruth Circle. ([Ames, Iowa] : Ascension Lutheran Church, [between 1968 and 1975].)",Ascension Lutheran Church,49 favorite cookie recipes of Ruth Circle Ascension Lutheran Church.,,PARKS General Collection,TX772 A15x 1968,1968,Item in place,Book,990017273810102756
"Book By Ware, Nadine. (Webster City, Iowa : Town and Country Garden Club?, 1978.)","Webster City, Iowa : Town and Country Garden Club?, 1978.)","Ware, Nadine.",Zucchini recipes,"compiled by Nadine Ware, Dorothy Luiken (artist).",PARKS General Collection,TX803 Z82 Z83x 1978,1978,Item in place,Book,990016807670102756
"Book By Association for the Preservation of Rensselaer Russell House (Waterloo, Iowa) ([Waterloo, Iowa] : [Association for the Preservation of Rensselaer Russell House], 1972.)","Waterloo, Iowa) ([Waterloo, Iowa] : [Association for the Preservation of Rensselaer Russell House], 1972.)",Association for the Preservation of Rensselaer Russell House,A compendium of Victorian cookery & reliable recipes from the Russell House kitchen.,,PARKS General Collection,TX715.2 M53 C6545x 1972,1972,Item in place,Book,990016291410102756
"Book By National Oats Company (Cedar Rapids, Iowa) (Cedar Rapids, Iowa : National Oats Co., [1974])","Cedar Rapids, Iowa) (Cedar Rapids, Iowa : National Oats Co., [1974])",National Oats Company,Oatmeals : the new old-fashioned way to eat.,,PARKS General Collection,TX809 O23 O18x 1974,1974,Item in place,Book,990018713380102756
"Book By Women of Delaware County Farm Bureau (Delaware County, Iowa) (Delaware County, Iowa : [Place of publication not identified] : Women of Delaware County Farm Bureau ; 1928.)","Delaware County, Iowa) (Delaware County, Iowa : [Place of publication not identified] : Women of Delaware County Farm Bureau ; 1928.)",Women of Delaware County Farm Bureau,The Farm Bureau cook book,"compiled and published by the Women of Delaware County Farm Bureau, Delaware County, Iowa.",PARKS Special Collections,TX715.2 M53 F365x 1928,1928,Item in place,Book,990019112250102756
"Book By Iowa Egg Council. (Urbandale, Iowa : Iowa Egg Council, [between 1995 and 2020])","Urbandale, Iowa : Iowa Egg Council, [between 1995 and 2020])",Iowa Egg Council.,An incredible edible [egg recipe cards],Iowa Egg Council.,PARKS Special Collections,TX745 I69x 1995,1995,Item in place,Book,9920641079502756
"Book By Weiner, Marcy. (Chelsea, Iowa : Chelsea Public Library?, 1989.)","Chelsea, Iowa : Chelsea Public Library?, 1989.)","Weiner, Marcy.",Chelsea celebrates 125 years of fine cooking,"sponsored by Chelsea Public Library ; [compiled by Marcy Weiner, and others].",PARKS General Collection,TX715.2 M53 C5225x 1989,1989,Item in place,Book,990016190740102756
"Book By Birkby, Evelyn. (Shenandoah, Iowa : KMA Broadcasting, L.P., 1987.)","Shenandoah, Iowa : KMA Broadcasting, L.P., 1987.)","Birkby, Evelyn.",KMA's come again cookie book,by Evelyn Birkby.,PARKS General Collection,TX772 B57x 1987,1987,Item in place,Book,990015329960102756
"Book By Amador, Oscar W. ([Cedar Rapids, Iowa] : Iowa Electric Light and Power Co., [between 1950 and 1959?])","[Cedar Rapids, Iowa] : Iowa Electric Light and Power Co., [between 1950 and 1959?])","Amador, Oscar W.",Wild game recipes,compiled by Oscar W. Amador.,PARKS Special Collections,TX751 W55x 1950z,TX751 W55x 1950z,Item in place,Book,990019049490102756
"Book By Rotary International. Rotary Anns of District 600. (Kansas City, Mo. : Circulation Service, 1978.)","Kansas City, Mo. : Circulation Service, 1978.)",Rotary International. Rotary Anns of District 600.,"A compilation of menus, recipes and drawings",by the Rotary Anns of District 600 of Rotary International for the benefit of the Rotary International Foundation.,PARKS General Collection,TX715.2 M53 C655x 1978,1978,Item in place,Book,990016105730102756
"Book By Smith, Robert F., (What Cheer, Iowa : The Author, [1993?])","What Cheer, Iowa : The Author, [1993?])","Smith, Robert F.,","The old and new world of cooking : master volume, featuring recipes of old and of new favorites",by Robert F. Smith.,PARKS General Collection,TX715.2 M53 S63x 1993,1993,Item in place,Book,990011396090102756
"Book By YMCA of the USA. Women's Service Corps. (Warren County, Iowa) ([Warren County, Iowa] : [Warren County YMCA Women's Service Corps.?], 1976.)","Warren County, Iowa) ([Warren County, Iowa] : [Warren County YMCA Women's Service Corps.?], 1976.)",YMCA of the USA. Women's Service Corps.,Warren County Y cook book,"[Warren County YMCA Women's Service Corps., Iowa]",PARKS General Collection,TX715.2 M53 W365x 1976,1976,Item in place,Book,990016425330102756
"Book By Wiggins, Florence Roe. (New York : Graphic Pub. Co., [1971])","New York : Graphic Pub. Co., [1971])","Wiggins, Florence Roe.",Strawberry Point kitchens,"by Florence Roe Wiggins, illustrated by Floyd Thomas.",PARKS General Collection,TX715.2 M53 W554x 1971,1971,Item in place,Book,990017699570102756
"Book By Iowa Machine Shed (Restaurant). ([Davenport, Iowa] : [The Machine Shed], [1998?])","Restaurant). ([Davenport, Iowa] : [The Machine Shed], [1998?])",Iowa Machine Shed,From planting to pickling,The Machine Shed.,PARKS General Collection,TX715.2 M53 F7623x 1998,1998,Item in place,Book,990012626910102756
"Book By Messiah Lutheran Church (Burlington, Iowa) ([Place of publication not identified] : Delta Press?, 1950.)","Burlington, Iowa) ([Place of publication not identified] : Delta Press?, 1950.)",Messiah Lutheran Church,Cook book,"compiled and edited by Mustard Seed Society of the Messiah Lutheran Church, Burlington, Iowa.",PARKS Special Collections,TX715.2 M53 C6664x 1950,1950,Item in place,Book,990017440160102756
"Book By United Presbyterian Church (Maxwell, Iowa). United Presbyterian Women. ([Maxwell, Iowa] : [United Presbyterian Church], 1964.)","Maxwell, Iowa). United Presbyterian Women. ([Maxwell, Iowa] : [United Presbyterian Church], 1964.)",United Presbyterian Church,Maxwell cooks' book,complied by United Presbyterian Women ; new addition by Evening Circle of U. P. W.,PARKS Special Collections,TX715.2 M53 M393x 1965,1965,Item in place,Book,9920275572802756
"Book By Congregational Church (Webster City, Iowa). Ladies' Aid Society. (Webster City, Iowa : Freeman-Journal Publishing Co., 1952.)","Webster City, Iowa). Ladies' Aid Society. (Webster City, Iowa : Freeman-Journal Publishing Co., 1952.)",Congregational Church,Tried & tested recipes of Webster City's best cooks.,,PARKS Special Collections,TX715.2 M53 T75x 1952,1952,Item in place,Book,990015113290102756
"Book By Union Mills Christian Church (Mahaska County, Iowa). Christian Women's Fellowship. (Kansas City, Kan. : Bev-Ron Publishing Company, [1973])","Mahaska County, Iowa). Christian Women's Fellowship. (Kansas City, Kan. : Bev-Ron Publishing Company, [1973])",Union Mills Christian Church,Favorite recipes of Union Mills Christian Women's Fellowship and community,[Christian Women's Fellowship of Union Mills Christian Church.],PARKS General Collection,TX715.2 M53 F3848x 1973,1973,Item in place,Book,990016281070102756
"Book By United Society of Friends Women. Agape Circle. (Deep River, Iowa : Brennan Printing, 1984.)","Deep River, Iowa : Brennan Printing, 1984.)",United Society of Friends Women. Agape Circle.,New Sharon community cook book,"sponsored by New Sharon Friends Church, New Sharon, Iowa.",PARKS General Collection,TX715.2 M53 N49x 1984,1984,Item in place,Book,990016154390102756
"Book By St. Mary's Catholic Church (Eldora, Iowa). Altar and Rosary Society Circle No. 3. (Iowa Falls, Iowa : General Publishing and Binding, 1967.)","Eldora, Iowa). Altar and Rosary Society Circle No. 3. (Iowa Falls, Iowa : General Publishing and Binding, 1967.)",St. Mary's Catholic Church,St. Mary's cook book,"St. Mary's Catholic Church (Eldora, Iowa)",PARKS Special Collections,TX715.2 M53 S2528x 1967,1967,Item in place,Book,990014923830102756
"Book By Methodist Church (Diagonal, Iowa). Woman's Society of Christian Service. (Marceline, Mo. : Walsworth Bros., 1951.)","Diagonal, Iowa). Woman's Society of Christian Service. (Marceline, Mo. : Walsworth Bros., 1951.)",Methodist Church,Your household guide,"sponsored by Methodist Church W.S.C.S., Diagonal, Iowa.",PARKS General Collection,TX158 Y68x 1951,1951,Item in place,Book,990014868580102756
"Book By Nye, Miriam Baker, (Iowa Falls, Iowa : General Publishing and Binding, 1973.)","Iowa Falls, Iowa : General Publishing and Binding, 1973.)","Nye, Miriam Baker,","Recipes and ideas ""From the kitchen window""",by Miriam.,PARKS General Collection,TX715.2 M53 R4537x 1973,1973,Item in place,Book,990016407630102756
"Book By International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America. Local 120 (Cresco, Iowa) (Deep River, Iowa : Brennan Printing, 1996.)","Cresco, Iowa) (Deep River, Iowa : Brennan Printing, 1996.)","International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America. Local 120","""Cookin"" with Local 120","UAW, Cresco, Iowa.",PARKS General Collection,TX715.2 M53 C6736x 1996,1996,Item in place,Book,990019385160102756
